Course Name,Platform
R Programming,Coursera
The Data Scientist’s Toolbox,Coursera
The Analytics Edge,edX
Computational Social Science,Coursera
Introduction to Data Science in Python,Coursera
Getting and Cleaning Data,Coursera
Exploratory Data Analysis,Coursera
Become a Data Analyst,Udacity
Python for Data Science,edX
Probability - The Science of Uncertainty and Data,edX
Mining Massive Datasets,edX
Introduction to Computational Thinking and Data Science,edX
Statistical Inference,Coursera
Statistics and R,edX
Introduction to Big Data,Coursera
Regression Models,Coursera
Pattern Discovery in Data Mining,Coursera
Data Visualization,Coursera
Finding Hidden Messages in DNA (Bioinformatics I),Coursera
Reproducible Research,Coursera
Python for Genomic Data Science,Coursera
Making Sense of Data in the Media,FutureLearn
Probability and Statistics in Data Science using Python,edX
Data Science: R Basics,edX
Mastering Data Analysis in Excel,Coursera
Hadoop Platform and Application Framework,Coursera
Process Mining: Data science in Action,Coursera
A Crash Course in Data Science,Coursera
Biology Meets Programming: Bioinformatics for Beginners,Coursera
People Analytics,Coursera
Digital Marketing Analytics in Practice,Coursera
Introduction to R for Data Science,edX
Introduction to Systematic Review and Meta-Analysis,Coursera
Mathematical Biostatistics Boot Camp 2,Coursera
Graph Analytics for Big Data,Coursera
Developing Data Products,Coursera
Managing Big Data with MySQL,Coursera
Data Science: Machine Learning,edX
Statistical Thinking for Data Science and Analytics,edX
Data Analysis for Social Scientists,edX
Causal Diagrams: Draw Your Assumptions Before Your Conclusions,edX
Data Science: Visualization,edX
High-Dimensional Data Analysis,edX
Genome Sequencing (Bioinformatics II),Coursera
Bayesian Statistics: From Concept to Data Analysis,Coursera
Case study: DNA methylation data analysis,edX
Data Science: Wrangling,edX
Data Science: Probability,edX
Data Science: Linear Regression,edX
Data Analysis Using Python,Coursera
Advanced Linear Models for Data Science 1: Least Squares,Coursera
Big Data Modeling and Management Systems,Coursera
Data Science and Agile Systems for Product Management,edX
DCO042 - Python For Informatics,Others
Data Science: Productivity Tools,edX
Data Science: Inference and Modeling,edX
Introducción a la Ciencia de Datos con Python,edX
Data Manipulation at Scale: Systems and Algorithms,Coursera
Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,Coursera
"Comparing Genes, Proteins, and Genomes (Bioinformatics III)",Coursera
مجموعة أدوات عالم البيانات,Coursera
Whole genome sequencing of bacterial genomes - tools and applications,Coursera
Big Data Analysis with Apache Spark,edX
Basic Data Processing and Visualization,Coursera
Social Network Analysis,Coursera
"Principles, Statistical and Computational Tools for Reproducible Data Science",edX
Data Science: Capstone,edX
Building a Data Science Team,Coursera
Aprendizaje automático y ciencia de datos,edX
Communicating Data Science Results,Coursera
"Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud",Coursera
Data Science Capstone,Coursera
Intro to Hadoop and MapReduce,Udacity
Data Analytics Foundations for Accountancy I,Coursera
Molecular Evolution (Bioinformatics IV),Coursera
Finding Mutations in DNA and Proteins (Bioinformatics VI),Coursera
Meaningful Predictive Modeling,Coursera
Qualitative Research Methods,Coursera
Introduction to Python for Data Science,edX
"Big Data, Genes, and Medicine",Coursera
Fundamentals of Statistics,edX
Data Science in Real Life,Coursera
"Data Warehouse Concepts, Design, and Data Integration",Coursera
Introduction to Data Analysis Using Excel,Coursera
Successfully Evaluating Predictive Modelling,edX
How to Win a Data Science Competition: Learn from Top Kagglers,Coursera
Big Data,Coursera
Framework for Data Collection and Analysis,Coursera
Data Analysis and Statistical Inference,Coursera
"Applied Plotting, Charting & Data Representation in Python",Coursera
Data Analysis with R,Udacity
Introducción a Data Science: Programación Estadística con R,Coursera
Predictive Analytics using Machine Learning,edX
Plant Bioinformatics,Coursera
Plant Bioinformatics Capstone,Coursera
Big Data Analysis with Scala and Spark,Coursera
Bacterial Bioinformatics,Coursera
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Coursera
Tools for Data Science,Coursera
Analytical Solutions to Common Healthcare Problems,Coursera
Bioinformatics: Introduction and Methods 生物信息学: 导论与方法,Coursera
Инструментальная фонетика: компьютерные методы сбора и анализа данных,Coursera
Обработка больших данных,Coursera
Managing Data Analysis,Coursera
"Introduction to Data, Signal, and Image Analysis with MATLAB",Coursera
Combining and Analyzing Complex Data,Coursera
"Managing, Describing, and Analyzing Data",Coursera
Identifying Patient Populations,Coursera
Predictive Modeling and Transforming Clinical Practice,Coursera
Data Science Math Skills,Coursera
Data Analysis for Life Sciences,edX
Data Science,edX
Python для анализа данных,Coursera
Введение в Биоинформатику: Метагеномика (Introduction to Bioinformatics: Metagenomics),Coursera
Введение в анализ данных сайтов,Coursera
Information Visualization: Programming with D3.js,Coursera
Information Visualization: Foundations,Coursera
Information Visualization: Applied Perception,Coursera
Data Analytics for Decision Making: An Introduction to Using Excel,FutureLearn
Data Visualization with Advanced Excel,Coursera
Big Data Science with the BD2K-LINCS Data Coordination and Integration Center,Coursera
Data Analysis with Python,Coursera
Data Visualization with Python,Coursera
What is Data Science?,Coursera
Databases and SQL for Data Science with Python,Coursera
Data Analysis: Take It to the MAX(),edX
Hands-on Text Mining and Analytics,Coursera
Data Visualization and Communication with Tableau,Coursera
Text Mining and Analytics,Coursera
Quantitative Biology Workshop,edX
Fundamentos de la visualización de datos con Tableau,Coursera
مهارات برنامج Excel للعمل: المبادئ الأساسية,Coursera
Data Analysis and Visualization,Coursera
Applied Analytics and Data for Decision Making,Coursera
Data Science Methodology,Coursera
"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",Coursera
Managing Big Data in Clusters and Cloud Storage,Coursera
Build Data Analysis tools using R and DPLYR,Coursera
Тренды и классификации,Coursera
Data Science for Business Innovation,Coursera
Security and Privacy for Big Data - Part 2,Coursera
Apache Spark (TM) SQL for Data Analysts,Coursera
IBM Data Analyst Capstone Project,Coursera
Introduction to Statistical Analysis: Hypothesis Testing,Coursera
"Statistical Thinking for Industrial Problem Solving, presented by JMP",Coursera
Introduction to Data Engineering,Coursera
Google Cloud Platform Big Data and Machine Learning Fundamentals en Français,Coursera
Data Science Fundamentals for Data Analysts,Coursera
Google Cloud Platform Big Data and Machine Learning Fundamentals em Português Brasileiro,Coursera
Big Data Analytical Platform on Alibaba Cloud,Coursera
Building Resilient Streaming Analytics Systems on GCP en Español,Coursera
Predictive Modeling with Logistic Regression using SAS,Coursera
Regression Modeling Fundamentals,Coursera
Applied Data Science for Data Analysts,Coursera
Communicate Effectively about Ethical Challenges in Data-Driven Technologies,Coursera
¿Qué es la ciencia de datos?,Coursera
Preparing for the Google Cloud Professional Data Engineer Exam 日本語版,Coursera
Python Project for Data Engineering,Coursera
Análisis de datos con Python,Coursera
Python para Data Science y AI,Coursera
Bases de datos y SQL para ciencia de datos,Coursera
Building Resilient Streaming Analytics Systems on GCP 日本語版,Coursera
Herramientas para la ciencia de datos,Coursera
Building Resilient Streaming Analytics Systems on GCP em Português Brasileiro,Coursera
Metodología de la ciencia de datos,Coursera
Building Resilient Streaming Analytics Systems on GCP en Français,Coursera
Visualización de Datos con Python,Coursera
Ciencia de Datos Aplicada - Curso Capstone,Coursera
Estadísticas para la Ciencia de Datos con Python,Coursera
Intro to Data Science,Udacity
Analyzing and Visualizing Data with Excel,edX
Data Science,Coursera
Analyze City Data Using R and Tableau,Coursera
Spatial Data Science: The New Frontier in Analytics,Others
Computing for Data Analysis,edX
Python for Data Science,Swayam
The R Programming Environment,Coursera
Applied Social Network Analysis in Python,Coursera
Data Analysis in Social Science—Assessing Your Knowledge,edX
Data Analysis: Statistical Modeling and Computation in Applications,edX
Capstone Exam in Statistics and Data Science,edX
Collaborative Data Science for Healthcare,edX
Cluster Analysis in Data Mining,Coursera
Building R Packages,Coursera
Practical Data Science with MATLAB,Coursera
Survey Data Collection and Analytics Project (Capstone),Coursera
Foundations of Data Analysis - Part 1: Statistics Using R,edX
Introduction to Analytics Modeling,edX
FA19: Deterministic Optimization,edX
Big Data Integration and Processing,Coursera
Applied Data Science Capstone,Coursera
Data Science: Computational Thinking with Python,edX
Advanced Linear Models for Data Science 2: Statistical Linear Models,Coursera
Advanced R Programming,Coursera
"Sampling People, Networks and Records",Coursera
Data Science Ethics,FutureLearn
Introduction to Transforming with Data Analytics and the Digital Organization,edX
Genomic Data Science and Clustering (Bioinformatics V),Coursera
Intro to Python for Data Science,Datacamp
Big Data and Education,edX
COVID19 Data Analysis Using Python,Coursera
Building Batch Data Pipelines on GCP,Coursera
Building Resilient Streaming Analytics Systems on GCP,Coursera
Logistic Regression with NumPy and Python,Coursera
Data Analysis and Presentation Skills: the PwC Approach Final Project,Coursera
Exploratory Data Analysis with Seaborn,Coursera
Principal Component Analysis with NumPy,Coursera
Create Interactive Dashboards with Streamlit and Python,Coursera
Data Visualization with Plotly Express,Coursera
Intro to Time Series Analysis in R,Coursera
Network Data Science with NetworkX and Python,Coursera
Geo-Visualization in Python,Coursera
